	iso	lang_name	bible_name	bible_id	population	country	video_date	audio_date	text_date	
	arq	Arabic Algerian Spoken	United Bible Societies	ARQUBS	26000000	Algeria	2022-01-05	NULL,NULL
	cuk	Kuna San Blas	1995 Wycliffe Bible Translators Inc.	CUKNVS	57100	Panama	2022-01-04	2021-05-24	2018-04-13	
	lcp	Lawa, Western	Thailand Bible Society Version	LCPTBS	8000	Thailand	2022-01-04	2022-03-01	2022-04-06	
	bgg	Bugun	2018 The Word for the World International	BGGWFW	900	India	2022-01-04	2022-03-30	NULL
	kab	Kabyle	ACEB Edition	KABCEB	5000000	Algeria	2022-01-04	2022-03-02	2018-04-13	
	zab	Zapoteco de San Juan Guelavia	1995, Wycliffe Bible Translators, Inc.	ZABTBL	28000	Mexico	2022-01-04	2018-02-13	2022-05-20	
	mza	Mixteco, Zacatepeco	2015 Wycliffe Bible Translators, Inc.	MZAWBT	2570	Mexico	2022-01-03	2022-03-01	2018-04-04	
	miy	Mixteco, Ayutla	2016 Wycliffe Bible Translators, Inc	MIYWYI	11570	Mexico	2022-01-03	2022-03-01	2022-04-07	
	kck	Kalanga	2008 Bible Society of Botswana	KCKBSB	700000	Zimbabwe	2021-12-23	2022-03-01	NULL
	xtm	Mixteco, Magdalena Peñasco	2013 The Bible League	XTMWBT	7350	Mexico	2021-12-23	2022-03-03	2019-01-11	
	mam	Mam, Todos Santos	2000 Wycliffe Bible Translators	MVJWBT	NULL	Guatemala	2021-12-23	2022-03-01	2018-04-04	
	mbz	Mixteco, Amoltepec	2007 The Bible League	MBZWBT	5630	Mexico	2021-12-23	2021-07-01	2019-01-11	
	mxv	Mixteco, Metlatónoc y Cochoapa	2017 Wycliffe Bible Translators, Inc	MXVWBT	46600	Mexico	2021-12-23	2022-02-09	2018-11-28	
	pny	Pinyin	2017 CABTAL	PNYCAB	24600	Cameroon	2021-12-20	2022-03-02	2022-04-07	
	xon	Konkomba	2009, 2014 Wycliffe Bible Translators, Inc.	XONWBT	NULL	Ghana	2021-12-20	2022-03-03	2018-04-13	
	tye	Kyanga	SIM Nigeria 2017	TYESIM	7000	Nigeria	2021-12-13	2022-03-02	2019-04-25	
	tnt	Tontemboan	Indonesian Bible Society	TNTLAI	150000	Indonesia	2021-12-13	2022-03-02	2021-06-25	
	hui	Huli	2002 Bible Society of Papua New Guinea	HUIPNG	150000	Papua New Guinea	2021-12-10	2022-03-02	2018-04-13	
	mhu	Digaro-Mishmi	Wycliffe India Version	MHUWIN	34000	India	2021-12-10	2022-02-09	2022-04-05	
	mbu	Mbula	Wycliffe Bible Translators, Inc. and
The Nigeria Bible Translation Trust 2016	MBUNBT	100000	Nigeria	2021-12-08	2021-11-30	2022-03-08	
	rif	Tarifit	2020 Edition	RIFNVL	1270000	Morocco	2021-12-08	2021-12-08	2021-10-20	
	txo	Toto	Indian Evangelical Mission	TXOIEM	20000	India	2021-12-08	2021-11-16	NULL
	kby	Kanuri, Manga	2018 Wycliffe Bible Translators, Inc	KBYSIM	280000	Niger	2021-12-06	2022-02-08	2022-04-06	
	zai	Zapoteco del Istmo	1988, Wycliffe Bible Translators, Inc.	ZAITBL	85000	Mexico	2021-12-06	2022-03-03	2018-04-13	
	sba	Ngambay	Nouvelle Version	SBASBA	896000	Chad	2021-12-06	2022-03-02	2018-04-04	
	pbt	Pashto, Afghan	2021 The Pakistan Bible Society	PBTYPR	6000000	Afghanistan	2021-12-06	2021-11-22	NULL
	kdn	Chikunda	2007 Bible Society of Zimbabwe	KDNBSZ	145000	Zimbabwe	2021-12-06	2022-03-01	2018-03-22	
	hif	Fiji-Hindi	Bible Society of the South Pacific	HIFBSP	380000	Fiji	2021-12-03	2022-03-02	2018-04-04	
	apc	Arabic, North Levantine Spoken	Sabeel Media	APCSMV	8800000	Lebanon	2021-12-03	2021-09-30	NULL
	qvs	Quechua, San Martín	1992 Bible League International	QVSTBL	15000	Peru	2021-12-01	2022-03-02	2018-04-13	
	arn	Mapudungun	Chilean Bible Society	ARNSBU	250000	Chile	2021-12-01	2021-04-22	NULL
	gxx	Wè Southern	Wycliffe Bible Translators, Inc.	GXXWYI	293000	Ivory Coast	2021-11-30	2021-10-29	NULL
	gil	Kiribati	Bible Society of the South Pacific, 2016	GILBSP	58300	Kiribati	2021-11-30	2022-03-02	2018-03-22	
	ace	Aceh	Today's Aceh Version, 1997	ACEIBS	3500000	Indonesia	2021-11-30	2021-04-15	2018-09-17	
	idu	Idoma	1970 Bible Society of Nigeria	IDUBSN	600000	Nigeria	2021-11-30	2022-03-02	NULL
	nyu	Nyungwe	2019 Wycliffe Bible Translators, Inc.	NYUWYI	439000	Mozambique	2021-11-24	2021-07-26	NULL
	ben	Bengali - Bangladesh	Mussolmani	BENBBS	110000000	Bangladesh	2021-11-24	2021-05-04	2018-03-22	
	enl	Enhlit	1995 Bible Society of Paraguay	LEGBSP	NULL	Paraguay	2021-11-22	2022-03-01	NULL
	cag	Nivaclé	1995 Bible Society of Paraguay	CAGSBP	13700	Paraguay	2021-11-22	2021-05-24	NULL
	pib	Yine	2008, Wycliffe Bible Translators, Inc	PIBWBT	4000	Peru	2021-11-19	2022-03-02	2018-03-22	
	dhn	Dhankavi	2018 The Word for the World International	DHNWFW	139000	India	2021-11-17	2021-07-13	2021-12-13	
	gkn	Gokana	Holy Bible, Gokana Version New Testament	GKNIBS	100000	Nigeria	2021-11-17	2022-03-02	2018-04-13	
	mzb	Tumẓabt	United Bible Societies 2021	MZBNVS	150000	Algeria	2021-11-17	2022-02-08	NULL
	hag	Hanga	1983 Bible League Intl.	HAGGIL	6800	Ghana	2021-11-17	2022-03-02	2018-04-13	
	gde	Gude	1999 Wycliffe Bible Translators Inc.	GDEWBT	68000	Cameroon	2021-11-16	2018-12-12	2022-05-19	
	stn	Owa	The Bible Society of the South Pacific	STNBSP	8410	Solomon Islands	2021-11-16	2022-03-02	2018-04-04	
	bvd	Baeggu	2017 Wycliffe Bible Translators, Inc.	BVDWBT	5900	Solomon Islands	2021-11-16	2021-11-24	NULL
	rhg	Rohingya	RCA – 2020 (John), 2021 (Luke)	RHGRCA	800000	Bangladesh	2021-11-16	2021-06-17	2021-06-18	
	def	Dezfuli	Korpu Ltd	DEFKLV	NULL	Iran	2021-11-16	2021-10-15	NULL
	ncu	Chumburung	1988 Wycliffe Bible Translators Inc.	NCUWBT	69000	Ghana	2021-11-10	2022-03-01	2018-04-13	
	xua	Kurumba, Alu	New Life Computer Institute	XUANLC	2500	India	2021-11-05	2021-10-29	2021-09-16	
	gri	Ghari	1989 The Bible Society in the South Pacific	GRIBSP	12100	Solomon Islands	2021-11-05	2022-03-02	2021-06-16	
	wlo	Wolio	Wolio Translation Group	WLOWTG	65000	Indonesia	2021-11-05	2021-09-24	2022-01-24	
	sah	Yakut	Institute for Bible Translation, Moscow	SAHIBT	450000	Russia	2021-11-02	2021-10-14	2022-03-16	
	tmf	Toba-Maskoy	LETRA Paraguay	TMFLPY	1680	Paraguay	2021-10-29	2022-03-30	NULL
	bem	Chibemba	1956 Icipingo Cipya	BEMUBS	3300000	Zambia	2021-10-27	2021-04-23	2021-10-29	
	bxh	Buhutu	2015 Wycliffe Bible Translators, Inc.	BXHGRN	1350	Papua New Guinea	2021-10-27	NULL,NULL
	sev	Sénoufo, Nyarafolo	Wycliffe Bible Translators, Inc	SEVWYI	60000	Ivory Coast	2021-10-27	2021-10-29	NULL
	ndv	Ndut	Wycliffe Bible Translators, Inc.	NDVWYI	38600	Senegal	2021-10-27	2022-03-01	2021-06-15	
	tuo	Tukano	2005 Wycliffe Bible Translators Inc.	TUOWBT	4600	Brazil	2021-10-27	2022-03-02	2018-04-13	
	tly	Talysh, Iranian	Korpu Ltd	TLYITV	NULL	Azerbaijan	2021-10-26	2021-10-01	NULL
	ury	Orya	2017 Albata	URYAOV	1600	Indonesia	2021-10-26	2022-03-02	2022-04-06	
	nod	Thai, Northern	Lanna Bible	NODWBT	6000000	Thailand	2021-10-26	2021-10-20	2018-03-22	
	grt	Garo	2004 Bangladesh Bible Society	GRTBBS	889000	Bangladesh	2021-10-22	2021-10-27	2018-03-22	
	bwu	Buli	1995 Wycliffe Bible Translators	BWUTBL	150000	Ghana	2021-10-21	2021-05-30	2018-04-04	
	suc	Subanon, Western	Wycliffe Bible Translators, Inc.	SUCWBT	125000	Philippines	2021-10-21	2021-10-14	NULL
	kac	Kachin	1993 United Bible Societies (Hanson)	KACUBS	900000	Myanmar (Burma)	2021-10-20	2022-03-01	2018-04-04	
	nbw	Ngbandi, Southern	ACTOBA-SUBO	NBWACT	105000	Democratic Republic of the Congo	2021-10-18	2022-03-01	NULL
	bim	Bimoba	1986, 2001, 2004, 2017 Wycliffe Bible Translators, Inc.	BIMWBT	120000	Ghana	2021-10-18	2021-04-23	2018-04-04	
	bud	Bassar Ntcham	2008 Wycliffe Bible Translators Inc.	BUDIBS	100000	Togo	2021-10-15	2021-05-30	2022-04-12	
	tur	Turkish	New Turkish Bible Translation	TURLPF	46300000	Russia	2021-10-15	NULL,NULL
	qvh	Quechua, Huamalíes-Dos de Mayo	2003 Bible League International	QVHLLB	72400	Peru	2021-10-15	2022-03-02	2018-04-04	
	cld	Chaldean	Aramaic Bible Translation	CLDABR	100000	Iraq	2021-10-15	2022-01-25	2022-01-24	
	lir	Liberian Pidgin	New Harvest Global Ministries Edition	LIRNHG	NULL	Liberia	2021-10-14	2022-01-25	NULL
	kpz	Kupsapiny	2019 Bible Society of Uganda	KPZURV	181000	Uganda	2021-10-14	2022-05-03	NULL
	myx	Ludadiri	2020 Bible Society of Uganda	MYXBSL	NULL	Uganda	2021-10-14	2022-04-29	NULL
	dgd	Yari	Association Nationale pour la Traduction de la Bible et Alphabestisation (ANTBA)	DGDANT	21000	Burkina Faso	2021-10-14	2021-12-03	NULL
	hat	Haitian Creole	1999 Haitian Bible Society	HATSBH	6960000	Haiti	2021-10-13	2022-03-02	2018-04-04	
	ind	Indonesian	Indonesian New Translation (formal) Version, 1974	INDNTV	22800000	Indonesia	2021-10-13	2021-05-25	2021-06-10	
	ayl	Eastern Libyan Arabic	2020 Mahabat El-Rahman	AYLELA	NULL	Libya	2021-10-13	NULL,NULL
	lnl	Ngbugu	2020 ACATBA	LNLACA	150000	Central African Republic	2021-10-12	2021-11-08	NULL
	rmy	Romani, Vlakh (Ukraine)	2020 Pioneer Bible Translators & Bible Translators of Ukraine	RMYPBT	NULL	Ukraine	2021-10-12	2021-09-24	2021-12-09	
	mlk	Ilwana	Bible Translation and Literacy (E.A),2018	MLKBTL	16800	Kenya	2021-10-12	2021-09-30	NULL
	ksp	Kaba	2020 ACATBA	KSPACA	72000	Central African Republic	2021-10-12	2021-11-10	NULL
	nst	Ollo	Evangel Bible Translators	NSTEBT	NULL	India	2021-10-12	2021-07-28	2021-09-16	
	ebu	Kiembu	2002 Bible Society of Kenya	EBUEBU	429000	Kenya	2021-10-12	2022-03-02	NULL
	loq	Lobala	2018 ACOTBA-SUBO	LOQWBT	60000	Democratic Republic of the Congo	2021-10-05	2021-07-26	2018-04-04	
	luy	Oluluyia	2002 Bible Society of Kenya	LUYBSK	5199727	Kenya	2021-10-05	2022-03-01	NULL
	rop	Kriol	2019 Wycliffe Bible Translators, Inc.	ROPWYI	4200	Australia	2021-10-05	2021-09-23	2021-09-16	
	kde	Makonde	2013, Wycliffe Bible Translators, Inc	KDEDVRNT	980000	Tanzania	2021-09-30	2022-02-08	2022-04-06	
	bgc	Haryanvi	Davar Partners International	BGCDPI	8000000	India	2021-09-29	2021-09-29	2022-02-08	
	ade	Adele	1996 Bible League Intl.	ADETBL	16300	Ghana	2021-09-29	2021-04-22	2018-04-04	
